# k_h Mode_1 Mode_2 Mode_3
1.00000000e-02 -1.36057826e-03 -1.09584018e-03 1.76012608e-03
1.17077991e-02 -1.77442815e-03 -4.73233418e-04 2.12491658e-03
1.37072561e-02 -2.54955431e-03 -5.09171379e-04 2.67213315e-03
1.60481801e-02 -4.96364877e-03 3.27132055e-04 4.77044270e-03
1.87888869e-02 -8.58682024e-03 2.68282193e-03 7.28582597e-03
2.19976514e-02 -1.45525857e-02 8.21611664e-03 1.10245413e-02
2.57544084e-02 -2.36068309e-02 1.86628689e-02 1.68164203e-02
3.01527440e-02 -3.62427840e-02 3.46655765e-02 2.77278219e-02
3.53022270e-02 -5.11595554e-02 5.16236453e-02 5.30310682e-02
4.13311383e-02 -6.29280003e-02 5.15186317e-02 1.16524967e-01
4.83896665e-02 -6.16584775e-02 -7.62135159e-03 2.64582945e-01
5.66536496e-02 -4.64056161e-02 -1.70551659e-01 5.10291032e-01
6.63289550e-02 -4.81010643e-02 -4.22257399e-01 6.88170019e-01
7.76566082e-02 -1.47691449e-01 -5.81048200e-01 3.32115912e-01
9.09187971e-02 -3.86290840e-01 -2.45951674e-01 -9.88291486e-01
1.06445901e-01 -4.56951803e-01 8.65756319e-01 -1.57527283e+00
1.24624723e-01 2.65490266e-01 1.43969392e+00 -5.70338379e-02
1.45908123e-01 1.33345449e+00 8.06504842e-01 8.74524339e-01
1.70826299e-01 1.30396477e+00 -1.44739141e+00 -9.01825429e-01
2.00000000e-01 -1.54808551e+00 -4.02751924e-01 6.09001085e-01
