# k_h Mode_1 Mode_2 Mode_3
1.00000000e-02 -1.04270462e-04 -1.99960158e-04 3.03936620e-04
1.27427499e-02 -2.35916756e-04 -4.07743989e-04 8.59292414e-04
1.62377674e-02 -4.52113201e-04 -9.59203485e-04 2.62193821e-03
2.06913808e-02 -1.06930376e-03 -2.09647280e-03 6.91384225e-03
2.63665090e-02 -2.17151898e-03 -5.25595651e-03 1.86287909e-02
3.35981829e-02 -3.59239966e-03 -1.13851093e-02 3.93721418e-02
4.28133240e-02 -4.86842133e-03 -2.48665038e-02 6.42439017e-02
5.45559478e-02 1.37314738e-03 -3.90359454e-02 5.10833359e-02
6.95192796e-02 1.64596265e-02 -4.21394823e-02 -1.71420339e-02
8.85866790e-02 5.94474133e-02 -1.07093256e-02 5.92865613e-02
1.12883789e-01 7.47575079e-02 -9.60194159e-02 4.48308509e-01
1.43844989e-01 9.38976194e-02 -2.40871448e-01 -9.78326345e-02
1.83298071e-01 1.19192162e-01 3.06663577e-01 -1.35189616e+00
2.33572147e-01 -3.29173988e-01 1.01421820e+00 5.27554932e-03
2.97635144e-01 -7.41269772e-01 -2.90616057e-01 1.17847293e+00
3.79269019e-01 3.42227993e-01 -1.38788885e+00 -4.95466764e-01
4.83293024e-01 1.26280053e+00 8.37399280e-01 3.72813540e-01
6.15848211e-01 -1.25560505e+00 2.58152333e-01 -4.87286362e-01
7.84759970e-01 3.83336293e-01 -3.75163509e-01 2.49185114e-01
1.00000000e+00 -1.49495582e-02 1.11181586e-01 -4.77454507e-02
